Flora,epoch,Latitude,Continent,Age,DepEnv,perc.damage,perc.spec,perc.mine,perc.gall,perc.hole,perc.marg,perc.skel,perc.surface,perc.pierce,dt.raw,ffg.raw,stand.dt,stand.spec,stand.mine,stand.gall,shan.div,stand.plant.div,Perc.Spec.DTOs
Fifteenmile Creek,Eocene,Mid-N,North America,52.75,fluvial,56,14.17,2.58,2.2,35.04,16.91,11.86,3.46,5.71,50,7,28.8,16.34,4.87,3.58,1.81,15.61,17.1515152
PN,Eocene,Mid-N,North America,53.4,fluvial,52.2,6.93,0.14,1.59,29.15,18.04,13.85,1.15,1.15,28,7,22.69,11.51,0.44,3.37,1.16,10.56,8.98876405
Sourdough,Eocene,Mid-N,North America,53.5,fluvial,34.8,5.30303,0.8838,2.0202,22.4747,12.1212,1.136,0.6313,0.1262626,22,7,15.779,6.645,1.846,1.757,1.92,17.34,12.5373134
Cool Period,Eocene,Mid-N,North America,54.2,fluvial,35.6,9.4,2.2,1.22,19.55,11,4.89,0.81,2.65,21,7,19.39,9.78,1,1,2.17,16.52,20.6896552
Chickaloon,Eocene,High-N,Alaska,55,fluvial,6.25,0.89,0,0,4.563,1.29,0.595,0,0,8,3,5.947877778,1.813194531,0,0,,13.75,13.4328358
Hanna Basin Level E,Eocene,Mid-N,North America,55,fluvial,20.3,6,1.3,3.2,13.75,2.5,4.38,0,0,18,5,17.51,9.65,2.88,2,1.75,16.87,24.137931
South Fork Elk Creek,Eocene,Mid-N,North America,55.2,fluvial,27.28,6.64,0.69,0,19.54,11.61,2.78,0.79,0,26,5,19.13,8.14,1.65,0,0.53,4.14,8.35214447
Hubble Bubble,Eocene,Mid-N,North America,56,fluvial,56,21.41,1.81,6.73,40,20.6,3.12,7.04,7.94,38,7,29.81,15.83,3.65,5.35,1.79,17.7,22.9184549
Daiye Spa,Paleocene,Mid-N,North America,56.1,fluvial,38,12.57,1.07,5.34,27.76,10.91,5.69,0.47,1.54,34,7,26.0162,12.7,2.3764,3.31,1.98,13.73,21.2328767
Dead Platypus,Paleocene,Mid-N,North America,56.5,fluvial,41,7.09,0.89,2.17,24.21,12.2,7.97,1.18,0.89,28,7,21.38,10.3162,1.7786,2.42,2.02,12.6,14.0138408
Clarkforkian,Paleocene,Mid-N,North America,57,fluvial,28.3044,3.8718,1.201602,0,18.69159,5.874499,4.00534,0.9345794,0.26702,27,6,18.207,8.07338,2.71682,0,1.046,7.84255,12.9166667
Hanna Basin Level C,Paleocene,Mid-N,North America,57,lacustrine,25.5,8.7,3.4,2.7,18.8,1.34,3.02,1.01,0,22,6,22,13,5,3,1.31,13,27.6190476
Cerrejon,Paleocene,Low,Tropical South America,58,mixed,50.1,10.45,0.394477,1.5779,36.2919,24.2604,4.339,3.1558,0.197,28,7,23.7,8.15,1.19,2.52,2.977,34.40623841,10.3825137
Lur'd Leaves,Paleocene,Mid-N,North America,58,fluvial,14.9,1.98,0.15,0.29,11.64,1.46,1.76,0.15,0.37,27,7,15.4424,5.3926,0.402,1.31,1.52,11.72,10.8391608
Seymour Island,Paleocene,High-S,Antarctica,59,coastal,2.6,NA,0.136986301,0.273972603,2.47,1.369863014,0,0,0,19,,,,,,,,
Skeleton Coast,Paleocene,Mid-N,North America,59.39,fluvial,34.9,5.36,0.12,0,23.21,2.02,11.9,0.36,0,19,6,14.41,4.32,0.355,0,1.09,6.33,11.4213198
Haz-Mat,Paleocene,Mid-N,North America,59.4,fluvial,36.9826,23.6315,0.400534,18.6916,13.88518,3.471295,1.735648,0.13335133,4.138852,18,7,14.6688,6.4,0.7857,2.9999,0.72569,3.4011,58.3120205
Kevin's Jerky,Paleocene,Mid-N,North America,59.4,fluvial,30.326,13.1918,0,1.0614,15.92115,5.30705,0.15163,2.42608,9.704,24,6,17.2526,6.2679,0,1.797,0.86528,4.222,33.9587242
Persites Paradise,Paleocene,Mid-N,North America,59.4,fluvial,33.5,6.022,0,1.869,29.8027,3.946,0.726895,0,1.35,21,5,15.6526,7.477,0,2.5971,1.0257,8.4577,13.6082474
Menat,Paleocene,Mid-N,North America,60.5,lacustrine,26.06,5.99,2.37,0.872,11.6,10.72,3.74,1.5,0,34,6,22.69,10.08,3.77,1.51,3.667,69.56,18.8679245
Firkanten,Paleocene,High-N,Spitsbergen,60.85,mixed,22.89,5.02,0.2,3.414,10.241,10.843,1.004,0.402,0,20,6,16.768,7.952,0.604,4.36,2.539,25.05589541,18.5185185
Las Flores,Paleocene,Mid-S,Patagonia,62.37,fluvial,59.7,15.6,1.2,4.6,35.5,22.4,5.6,7.5,1.24,39,7,32.08,17.05,2.55,4.28,2.68,26.23,17.8637201
Palacio de los Loros 2,Paleocene,Mid-S,Patagonia,64.08,coastal,64.4,24.1,0.5,9.1,37.3,31.85,5.8,7.8,9.3,39,7,29.89,15.17,1.41,6.02,2.46,24.49,20.4980843
Castle Rock,Paleocene,Mid-N,North America,64.4,fluvial,6.7,1.6,0.07,0,4.67,1.21,0.53,0.04,0.96,23,6,10.58,2.67,0.21,0,4.13,84.46,17.3745174
Mexican Hat,Paleocene,Mid-N,North America,65,fluvial,34.54,10.946,2.56,1.396396,21.3964,2.387387,6.9369,3.33,5.5,30,7,21.046,9.9469,2.826,1.802,1.457,9.498,22.3618091
Palacio de los Loros 1,Paleocene,Mid-S,Patagonia,65.22,coastal,51.3,15.3,0,5.91,31.7,23.01,1.48,4.81,2.59,31,6,23.57,11.39,0,4.94,2.51,21.74,18.3838384
Pyramid Butte,Paleocene,Mid-N,North America,66,fluvial,21.374,3.511,0.458,0,17.826,3.206,0.763,0.611,0.763,17,6,14.07,4.529,1.17,0,1.858,20.24,11.7948718
Battleship,Cretaceous,Mid-N,North America,66.1,fluvial,31.2,14.1,6.51,1.74,20.39,6.51,4.56,0,0,30,5,26.7,15.66,4.45,3.17,2.568,33.3,31.5789474
Dean Street,Cretaceous,Mid-N,North America,66.2,fluvial,34.56,12.69,1.55,1.41,24.4,7.76,3.39,0.282,0.141,30,7,24.55,13.82,2.72,2.44,3.283,49.27,26.0053619
Lefipan East,Cretaceous,Mid-S,Patagonia,66.5,coastal,61.1,22.1,1.64,7.7,31.54,26.62,3.05,11.4,6.33,39,7,31.4,16.24,4.03,4.6,3.09,40,23.0070636
Somebody's Garden,Cretaceous,Mid-N,North America,66.6,fluvial,34.72,14.8,0.65,3.25,30.23,4.876,1.69,0.06,0.195,31,7,18.9,9.95,1.77,1.66,2.575,28.43,30.1020408
Luten's 4H Hadrosaur,Cretaceous,Mid-N,North America,66.8,fluvial,23.23,8.69,0.47,1.41,17.84,2.82,2.35,0.94,0.94,25,7,22.28,11.71,1.42,1.7,1.87,26.78,23.5294118
